,,,
Question,Answer,Comments,Instructions
"Thermal decomposition of a Mn compound (X ) at 513 K results in compound (Y ), MnO2 and a gaseous product. MnO2 reacts with NaCl and concentrated H2SO4 to give a pungent gas Z. X , Y and Z, respectively, are (2019 Main, 12 April II) (a) K3MnO4 , K2MnO4 and Cl 2 (b) K2MnO4 , KMnO4 and SO2 (c) KMnO4 , K2MnO4 and Cl 2 (d) K2MnO4 , KMnO4 and Cl 2",c,"1. Thermal decomposition of Mn compound (X), i.e. KMnO4 at 513 K results in compound Y(i.e. K2MnO4 ), MnO2 and a gaseous product. MnO2 reacts with NaCl and concentrated H2SO4 to give a pungent gas Z(i.e. Cl2 ). The reactions involved are as follows : 2KMnO4 K MnO MnO O 513 K 2 4 2 2 (X) (Y) Â¾Â¾Â¾Â® + + g D ( ) MnO2 + 4NaCl + 4 H2SO4 Â¾Â® MnCl 4NaHSO 2H O Cl 2 + 4 + 2 + 2 (g) (Z ) Pungent gas.",
The pair that has similar atomic radii is (a) Mn and Re (b) Ti and Hf (c) Sc and Ni (d) Mo and W,d,"The pair that has similar atomic radii is Mo and W. It is due to lanthanoid contraction. The factor responsible for lanthanoid contraction is the imperfect shielding of one electron by another in the same set of orbitals. Shielding of 4 f is very less due to its diffused shape. As a result, nuclear charge increases. Hence, Mo and W have similar atomic radii",
"The correct order of the first ionisation enthalpies is (2019 Main, 10 April II) (a) Mn < Ti < Zn < Ni (b) Ti < Mn < Zn < Ni (c) Zn < Ni < Mn < Ti (d) Ti < Mn < Ni < Zn",d,"The 3d-transition series is In 1st ionisation, one electron will be removed from 4 2 s subshell/orbital. With increase in atomic number (Z), i.e. with increase in number of protons in the nucleus, effective nuclear charge ( ) * Z also increases from Sc to Zn. IE Âµ Z * So, IE order of the given elements will be, Ti < Mn < Ni < Zn",
"The highest possible oxidation states of uranium and plutonium, respectively, are (2019 Main, 10 April II) (a) 7 and 6 (b) 6 and 7 (c) 6 and 4 (d) 4 and 6",b,"Actinoids show a variety of oxidation states due to comparable energies of 5 f, 6d and 7s energy levels. In the actinoids family (5 f-block), uranium (U) neptunium (Np), plutonium (Pu) and americium (Am) have highest possible oxidation states of +6, + 7, + 7 and +6 respectively.",
"Consider the hydrated ions of Ti , V , Ti 2+ 2+ 3+ and Sc 3+ . The correct order of their spin-only magnetic moment is (2019 Main, 10 April I) (a) Sc < Ti < Ti < V 3+ 3+ 2+ 2+ (b) Sc < Ti < V Ti 3+ 3+ 2+ 2+ < (c) Ti Ti Sc V 3+ 2+ 3+ 2+ < < < (d) V Ti Ti Sc 2+ 2+ 3+ 3+",a ,"The spin only magnetic moment (m ) of each ion can be calculated as : m = n (n + 2) BM [Q n = No. of unpaired electron(s)] Ã m Âµ n, i.e. higher the number of unpaired electron, higher will be the value of m. Metal ion Z n (for metal ion) M (BM) Nature Ti 2+ 22 2 (3 2 d ) 8 Paramagnetic V 2+ 23 3 (3 ) 3 d 15 Paramagnetic Ti 3+ 22 1 (3 ) 1 d 3 Paramagnetic Sc 3+ 21 0 (3 ) 0 d 0 Diamagnetic Thus, the correct order of spin only magnetic moments of given hydrated ions will be Sc Ti Ti V 3+ 3+ 2+ 2+",
"The max i mum num ber of pos si ble ox i da tion states of actinoides are shown by (2019 Main, 9 April II) (a) berkelium, (Bk) and californium (Cf) (b) nobelium (No) and lawrencium (Lr) (c) actinium (Ac) and thorium (Th) (d) neptunium (Np) and plutonium (Pu)",d,"The maximum number of possible oxidation states of actinoids are shown by neptunium (Np) and plutonium (Pu). These actinoids exhibit oxidation states of +3, +4, +5 and +6.",
"The lanthanide ion that would show colour is (2019 Main, 8 April I) (a) Gd 3+ (b) Sm 3+ (c) La 3+ (d) Lu 3+",b,The lanthanide ion that would show colour is Sm 3+ . Colour of a compound depends on the number of electrons in 4 f-orbitals. Electronic configuration of given lanthanides are as follows: Gd 3+ = 4 7 f Sm 3+ = 4 5 f La 3+ = 4 0 f Lu 3+ = 4 f 14 Gd 3+ have half-filled 4 f-orbitals. La 3+ have no electron in 4 f-orbitals. Lu 3+ have fully-filled 4 f-orbitals. Only Sm 3+ contain 4 5 f . The electrons can easily undergoes excitation. That result in a formation of colour,
". The correct order of atomic radii is (2019 Main, 12 Jan II) (a) Ho > N > Eu > Ce (b) N > Ce > Eu > Ho (c) Eu > Ce > Ho > N (d) Ce > Eu > Ho > N",c,". The correct order of atomic radii is Note (i) N being the member of p-block and second period, have the smallest radii. (ii) Rest of all the 3 members are lanthanides with Eu having stable half-filled configuration thus with bigger size than rest two. (iii) Among Ce and Ho, Ce has larger size which can be explained on the basis of âLanthanoid contractionâ.",
"A B 4 2 2 2 KOH, O (Green) Â¾Â¾Â¾Â¾ Â® + H2O 3 2 2 4 B C HCl (Purple) Â¾Â¾Â¾Â® + MnO2 + H2O 2C 2A 2 D H O, KI Â¾Â¾2 Â¾Â¾Â® + KOH + In the above sequence of reactions, A and D, respectively, are (2019 Main, 11 Jan II) (a) KI and KMnO4 (b) MnO2 and KIO3 (c) KI and K2MnO4 (d) KIO3 and MnO2",b,"When MnO2 (A) is fused with al kali in pres ence of air then po tas sium manganate (B) is formed. Po tas sium manganate (B) is of green col our which dis pro por tion ate in a neu tral or acidic so lu tion to pro duce po tas sium per manga nate (C). Po tas sium per manga nate (C) in presence of acidic me dium oxi dises iodide to iodate. The reaction can be shown as: (i) 2 4 2 0 2 MnO2 ( ) ( ) Potassium + 4 KOH, O - Â¾Â¾Â¾Â¾Â® A D B 2K2MnO +6 4 manganate (Green) + - 2H2O 2 (ii) 3 6 K2 Mn O4 ( ) 4 + Â¾Â¾Â® B HCl 2 7 7 KMn O4 MnO2 + 2H Potassium permanganate (purple) + + + (C ) 2O + 4KCl (iii) 2 2 7 4 1 KMnO4 MnO2 ( ) H O ( ) 2 + + - Â¾Â¾Â¾Â¾ Â® C A K I , + + + 2KOH K IO 5 3 (D) Thus, A and D are MnO2 and KIO3 respectively",
"The element that usually does not show variable oxidation states is (2019 Main, 11 Jan I) (a) Sc (b) Cu (c) Ti (d) V",a,"The most sta ble ox i da tion states in the com pounds of the given tran si tion met als of 3d-se ries are, Sc : + 3; Ti : + 3, + 4; V : +2, + 3, + 4, + 5; Cu : + 1, + 2 The electronic configuration of Sc (Z = 21) is [Ar] 3 4
1 2
d , s .
Due to the presence of only one 3d-electron
(no pairing energy) and two 4s-electrons, they easily ionise to
achieve most stable +3 oxidation state.",
"The 71 st electron of an element X with an atomic number of 71 enters into the orbital (2019 Main, 10 Jan II) (a) 4 f (b) 6p (c) 5d (d) 6s",c,"In the lanthanoid se ries, atomic num ber of four teen 4 f-block el e ments ranges from 58 (Ce) to 71 (Lu). Ytterbium, Yb(Z = 70) has electronic configuration : [Xe] 4 6 14 2 f s . So, the 71nth electron of lutetium, Lu(Z = 71) should enter into 5d orbital and its (here, Lu is âXâ) electronic configuration will be : [Xe]4 5 6 14 1 2 f d s . It happens so, because f-block elements have general electronic configuration, (n - ) f - 2 1 14 (n - )d ns - 1 1 10 2 . Therefore, option (c) is correct.",
"The effect of lanthanoid contraction in the lanthanoid series of elements by and large means (2019 Main, 10 Jan I) (a) increase in atomic radii and decrease in ionic radii (b) decrease in both atomic and ionic radii (c) increase in both atomic and ionic radii (d) decrease in atomic radii and increase in ionic radii",b,"Lanthanoid contraction in the lanthanoid series takes place due to the presence of electron(s) in the 4 f-orbitals. f-orbitals have poor shielding effect. As a result, the effective nucleur charge will be more experienced by the 5d and 6s- electrons and it will cause contraction or decrease in both atomic and ionic radii.",
"The tran si tion el e ment hav ing least enthalpy of atomisation is (2019 Main, 9 Jan II) (a) Zn (b) V (c) Fe (d) Cu",a,"For tran si tion met als, DHAtomisation Â° Âµ Strength of metallic bonding Âµ Number of unpaired electrons in the metal atom For the given 3d-transition metals, V Fe Cu Zn 3 3 d 4 2 s 3 6 d 4 2 s 3 10 d 4 1 s 3 10 d 4 0 s n = 3 n = 4 n = 0 n = 0 [Qn = no. of unpaired electrons] DÂ°HAtomisation (kJ mol-1 ) = 515 418 339 130 So, absence of unpaired d-electrons and larger size of Zn atoms, make the crystal lattice of Zn less closely packed.",
"In the following reactions, ZnO is respectively acting as a/an (2017 Main) (i) ZnO + Na2O Â¾Â® Na2ZnO2 (ii) ZnO + CO2 Â¾Â® ZnCO3 (a) base and acid (b) base and base (c) acid and acid (d) acid and base",d,"Zinc oxide (ZnO) when react with Na2O it act as acid while with CO2 it act as base. Therefore, it is an amphoteric oxide. ZnO + Na O Na ZnO Acid 2 Base 2 2 Salt Â¾Â® ZnO +CO ZnCO Base 2 Acid 3 Salt",
Sodium salt of an organic acid âXâ produces effervescence with conc. H SO . 2 4 âXâ reacts with the acidified aqueous CaCl2 solution to give a white precipitate which decolourises acidic solution of KMnO . 4 âXâ is (2017 Main) (a) C H COONa 6 5 (b) HCOONa (c) CH COONa 3 (d) Na2C2O4,d,"The reaction takes place as follows Na2C2O4+ H SO Na SO + H O ( ) 2 4 (Conc.) 2 4 2 X Â¾Â® + CO + CO Effervescence Â­ 2 Â­ Na C O + CaCl CaC O + 2NaCl 2 2 4 ( ) 2 2 4 X White ppt. Â¾Â® 5CaC2O4 2KMnO4 8H SO K SO 5CaSO Purple + + 2 4 Â¾Â® 2 4 + 4 + 2MnSO4 + 10CO Colourless 2 + 8H2O Hence, X is Na2C2O4 .",
