q,a,c,i,m
"Atomic Radius, BP, and MP of Group 18 elements  '____' down the group: ",increases,,,
"Ratios of Xe,F2 to be added tog et XeF2,XeF4,XeF6:","Xe excess,1:5,1:20",,,
Preparation of XeF6 with O2 as byproduct:,XeF4 + O2F2 -> XeF6 + O2,,,
XeF2 + PF5 -> ,[XeF][PF6],,Don't show charge.,
XeF4 + SbF5 ->,[XeF3][SbF6],,Don't show charge.,
"XeF6 + MF (M = Na, K, Rb) ->",M[XeF7],,Don't show charge.,
XeF2 + H2O->,Xe + HF + O2,"Xe is in gaseous state, and XeF2 is solid.",,
XeF4 + H2O -> ,Xe + XeO3 + HF + O2,,,
XeF6 + H2O -> ,XeO3 + HF,,,
XeF6 (Heating) -> ,XeF2 + XeF4 + F2,,,
XeO3 + NaOH  ->,Na[HXeO4],,,
[HXeO4]- + OH-  ->,[XeO6]4- + Xe + O2 + H2O,,,
XeO3 + XeF6 -> ,XeOF4,,,
XeO3 + XeOF4 ->,XeO2F2,,,
(Partial Hydrolysis)  XeF6 + H2O ->,XeOF4,,,
(Partial Hydrolysis)  XeF6 + 2H2O ->,XeO2F2,,,
