Questions,Answers,Comments,Instructions
Zn+NaOH (Lab prep of H2) ,Na2ZnO2(sodium zincate)+H2,,
2H2O (electrolysis) ,2H2+O2,,
"CH4+H2O (1270K,Ni) ",CO+3H2 ,,
CO+H2O (water gas/synthesis gas),CO2+H2 ,,
"H2+X2 (F=dark, I=catalyst) ",2HX,,
2H2+O2 (catalyst) ,2H2O,,
"3H2+N2 (673K,200atm,Fe) ",2NH3,,
H2+2M (M=Alkali metal) ,2MH,,
H2+Pd ,Pd+2H,,
H2+CO+RCH=CH2 ,RCH2CH2CHO,then to RCH2CH2CH2OH,
CO+2H2 (Cobalt catalyst) ,CH3OH,,
NaH+H2O ,NaOH+H2,,
8LiH+Al2Cl6 ,2LiAlH4+6LiCl,,
2LiH+B2H6 ,2LiBH4,,
CuO+H2 ,H2O+Cu,,
2H2O+2Na ,2NaOH+H2,,
"12H2O+6CO2 (photosynthesis, oxidation of Water) ",C6H12O6+6H2O+6O2,,
2F2+2H2O ,4HF+O2,,
P4O10+6H2O ,4H3PO4,,
SiCl4+2H2O ,SiO2+4HCl,,
CCl4+H2O ,no hydrolysis,,
CuSO4.5H2Orxnn_ ions=?&nbsp; ,[Cu(H2O)5]+SO4-+1H2O,(Coordination number of Cu=4),
C17H35COO-Na+(Ca/Mg) ,2Na + Scum=(C17H35COO-)2(Ca/Mg)(ppt), Scum forms layer in storage tanks,
Temporary hardness ,magnesium and calcium: hydrogen carbonates,,
Permanent hardness ,magnesium and calcium: soluble chlorides and sulphates,,
Mg(HCO3)2 + ? ,Mg(OH)2(ppt)+2CO2(gas),,
Ca(HCO3)2 + ? ,CaCO3(ppt)+H2O+CO2(gas),,
Ca(HCO3)2+Ca(OH)2 (Clark's method of removing temporary hardness) ,2CaCO3(ppt)+2H2O,,
Mg(HCO3)2+2Ca(OH)2 (Clark's method of removing temporary hardness) ,2CaCO3(ppt)+Mg(OH)2(ppt)+2H2O,,
MCl2+Na2CO3 (M=Ca/Mg) ,MCO3(ppt)+2NaCl,,
2NaAlSiO4+M (Zeolite/Permutit=Na2Al2Si2O8) ,M(AlSiO4)2(ppt)+2Na,,
BaO2.8H2O+H2SO4 ,BaSO4+H2O2+8H2O,,
2HSO4- (Lab preparation of H2O2) ,(electrolysis) HO3SOOSO3Hrxnn_(hydrolysis) 2HSO4-+2H+H2O2,,
K2S2O8+2D2O (Lab preparation of D2O2) ,2KDSO4+D2O2,,
2-ethylanthraquinol ? (Industrial preparation of H2O2) ,H2O2 ,(Auto oxidation of 2-alkylanthraquinols),
2Fe+2H+H2O2 ,2Fe?+2H2O,,
PbS+4H2O2 ,PbSO4+4H2O,,
2MnO4-+6H+5H2O2 ,Mn+8H2O+5O2,,
HOCl+H2O2 ,H3O+Cl-+O2,,
2Fe+H2O2 ,2Fe?+2OH-,,
Mn+H2O2 ,Mn?+2OH-,,
I2+H2O2+2OH- ,2I-+2H2O+O2,,
2MnO4-+3H2O2 ,2MnO2+3O2+2H2O+2OH-,,
"2H2O2 [catalysed:alkali,metal surfaces. -catalysed:urea] ",2H2O+O2,,
CaC2+2D2O ,C2D2+Ca(OD)2,,
SO3+D2O ,D2SO4,,
Al4C3+12D2O ,4Al(OD)3+3CD4,,
4Li+O2 ,2Li2O,,
2Na+O2 ,Na2O2,,
K+O2 ,KO2,,
2M+2H2O (alkali metal) ,2MOH+H2,,
2M+H2 (alkali metal) ,2MH,,
"2M+X2 (alkali metal), LiX are covalent ",2MX,,
4LiNO3 + heat ,2Li2O+4NO2+O2,,
2NaNO3 + heat ,2NaNO2+O2,,
2NH3+H2O+CO2 ,(NH4)2CO3,,
(NH4)2CO3+H2O+CO2 ,2(NH4)HCO3,,
NH4HCO3+NaCl ,NH4Cl+NaHCO3,,
2NaHCO3 + heat ,Na2CO3+CO2+H2O,,
2NH4Cl+Ca(OH)2 ,NH4OH+CaCl2,,
Na2CO3.10H2O + heat (375K) ,Na2CO3.H2O+9H2O,,
Na2CO3.10H2O + heat (>375K) ,Na2CO3+10H2O,,
2Na-Hg+2H2O ,2NaOH+2Hg+H2,,
2NaOH+CO2 ,Na2CO3+H2O,,
Na2CO3+H2O+CO2 ,2NaHCO3,,
Be + H2 ,No reaction,,
2BeCl2 + LiAlH4 ,2BeH2 + LiCl + AlCl3,,
Be(OH)2+2OH- ,[Be(OH)4]- (beryllate ion),(beryllate ion),
M(NO3)2 + heat (alkali earth metals) ,2MO+4NO2+O2,,
Be(NO3)2 + heat (like others) ,BeO+4NO2+O2,,
CaCO3+heat ,CaO+CO2,,
CaO+H2O ,Ca(OH)2,,
CaO+CO2 ,CaCO3,,
CaO+SiO2 ,CaSiO3,,
6CaO+P4O10 ,2Ca3(PO4)2,,
Ca(OH)2+CO2 ,CaCO3+H2O,,
CaCO3+CO2+H2O ,Ca(HCO3)2,,
2Ca(OH)2+2Cl2 ,CaCl2+Ca(OCl)2 {bleaching powder}+2H2O,,
CaCl2+Na2CO3 ,CaCO3+NaCl,,
CaCO3 + heat (1200K) ,CaO+CO2,,
CaCO3+2HCl (commercial method for preparation of CO2) ,CaCl2+H2O+CO2,,
CaCO3+H2SO4 ,CaSO4+H2O+CO2,,
CaCO3.2H2O + heat (393K) ,CaCO3.0.5H2O+ 2.5H2O,,
CaCO3.2H2O + heat (>393K) ,CaCO3 (dead burnt plaster) + 2H2O,,
2B+3O2+heat ,2B2O3,,
2B+N2+heat ,2BN,,
Al+HCl ,AlCl3+H2,,
Al+NaOH ,Na[Al(OH)4]+H2,,
2B+3X2 ,2BX3,,
NH4Cl+H2O ,HCl(gas)+NH4OH,,
Na2B4O7+7H2O ,2NaOH+4H3BO3,,
Na2B4O7.10H2O +heat ,Na2B4O7 ,(sodium metaborate),
Na2B4O7 +heat ,2NaBO2+B2O3 ,(boric anhydride),
Na2B4O7+2HCl+5H2O ,2NaCl+4B(OH)3,,
H3BO3+heat ,HBO2 (+heat) rxnn_B2O3,,
4BF3 + 3 LiAlH4 ,2B2H6 + 3LiF + 3AlF3,,
2NaBH4+I2 ,B2H6+2NaI+H2,,
2BF3+6NaH +Heat(450K) ,B2H6+6NaF,,
B2H6+3O2 ,B2O3+3H2O + enormous heat,,
BH3+NMe3 ,BH3.NMe3,,
BH3+CO ,BH3.CO,,
2B2H6+6NH3rxnn_3[BH2(NH3)2][BH4]- (+heat) ,2B3N3H6 +12H2,"(borazine, inorganic benzene)",
2MH+B2H6 (M=Li/Na) ,2M[BH4]- ,"(borohydride, reducing agent)",
Sn+2H2O + heat ,SnO2+H2,,
C+O2(limited) ,CO,,
HCOOH {+heat (100Â§C) + H2SO4} (small scale pure CO production) ,H2O + CO,,
C + H2O +heat{473-1273K} (commercial method)  (water/synthesis gas),CO + H2 (water/synthesis gas),,
C+O2+N2  (producer gas)rxnn_ ,CO+N2 ,,
Fe2O3+3CO +heat ,Fe+3CO2,,
ZnO+CO +heat ,Zn+CO2,,
C+O2(excess) ,CO2,,
CH4+O2 ,CO2+H2O,,
3HNO2 ,HNO3+H2O+2NO,,
"NH4Cl+NaNO2 (lab method for preparing N2, impurities of NO and HNO3 are removed by passing through H2SO4 chamber) ",N2+2H2O+NaCl,,
(NH4)2Cr2O7 +heat ,N2+4H2O+Cr2O3,,
Ba(N3)2 +heat (very pure product) ,3N2+Ba,,
6Li+N2 +heat ,2Li3N,,
3Mg+N2 +heat ,Mg3N2,,
N2+H2 +heat(773K) {Haber's process} (large scale NH3 production) ,2NH3,,
N2+O2 +heat(2000K) ,2NO (nitric oxide),,
2NaN3 +heat ,2Na+3N2,,
NH2CONH2+2H2O (small scale NH3 production) ,2NH3+H2O+CO2,,
ZnSO4+2NH4OH ,Zn(OH)2(ppt)[white]+(NH4)2SO4,,
FeCl3+NH4OH ,Fe2O3.xH2O(ppt)[brown]+NH4Cl,,
Cu{blue}+4NH3 ,[Cu(NH3)4] {deep blue},,
Ag+Cl- ,AgCl(ppt)[white],,
AgCl(ppt)[white]+2NH3 ,[Ag(NH3)2]Cl {colourless solution},,
NH4NO3 +heat ,N2O+2H2O,,
2NaNO2+FeSO4+H2SO4 ,Fe2(SO4)3+2NaHSO4+2H2O+2NO,,
2NO+N2O4 +heat(250K) ,2N2O3 [blue solid],,
2Pb(NO3)2 +heat(673K) ,4NO2(gas)[brown]+2PbO+O2,,
2NO2 ,N2O4,,
4HNO3+P4O10 ,4HPO3+2N2O5,,
"NaNO3+H2SO4 (lab method for preparation of nitric acid, HNO3) ",NaHSO4+HNO3,,
I2+10HNO3 ,2HIO3+10NO2+4H2O,,
C+4HNO3 ,CO2+2H2O+4NO2,,
S8 + 48HNO3 ,8H2SO4 + 48NO2 + 16H2O,,
P4 + 20HNO3 ,4H3PO4 + 20NO2 + 4H2O,,
P4+3NaOH+3H2O ,PH3+3NaH2PO2,,
Ca3P2+6H2O ,3Ca(OH)2+2PH3,,
Ca3P2+6HCl ,3CaCl2+2PH3,,
PH4I+KOH ,KI+H2O+PH3,,
3CuSO4+2PH3 ,Cu3P2+3H2SO4,,
3HgCl2+2PH3 ,Hg3P2+6HCl,,
PH3+HBr ,PH4Br,,
Holme's signals is spontaneous combustion of phosphine. It uses ___ & ___. ,CaC2 + Ca3P2,,
"P4{white,heated}+6Cl2 ",4PCl3,,
Pal3+3H2O ,H3PO3+3HCl,,
3CH3COOH+PCl3 ,3CH3COCl+H3PO3,,
