Questions,Answers,Instructions,Comments,Render as
`____` coloured ZnO gives ____ colour on heating,yellow white,,,1
"`____` SnO2, Bi2O3 on heating gives `____`colour",Yellowish-brown yellow,,,
PbO on heating gives `____` colour,yellow,,,
`____` Fe2O3 on heating gives `____` colour,Black/red brown,,,
Black coloured oxides (5),MnO2 FeO CuO Ni2O3 Co3O4,,,1
Black coloured sulphides (9) ,Ag2S CaS Cu2S FeS CoS PbS HgS Bi2S3,,,1
Brownish yellow coloured sulphides,SnS,,,
Green coloured salts ,"Nickel Salts, Hydrated Ferrous Salts, K2MnO4, Cu (II) salts, Cr2O3",,,2
Dark Brown coloured salts (6),PbO2 Ag2O CdO Fe2O3 CuCrO4 FeCl3,,,1
Orange coloured salts ,"K2Cr2O7, Sb2S3, Super Oxides",,,2
Red coloured salts,Pb3O4 HgO Cu2O CrO3 K3Fe(CN)6,,,1
Light Pink coloured salt,hydrated managanese salt,,,2
Na2B2O7.10H20 --> (heat) `____`  --> (heat) `____`,"2B4O7, 2NaBO2 + B2O3",,,3
CuO + B2O3 --> space ,Cu(BO2)2,,,
Na(NH4)HPO4.4H2O --> space ,NaPO3 + H2O + NH3,,,
NaPO3 + CoO --> space,NaCoPO4,,,
I group radicals,"CO32-,SO32-, S2-,NO2-",,,
I group reagents ,"dil Hcl, dil H2SO4",,,2
Brisk effervesense with evolution of colourless and odourless gas,CO32-,,,
Colourless gas with  suffocating odour having smell of burning sulphur,SO32-,,Sulphite Ion,
Colourless gas with smell of rotten eggs,S-2,,sulphide ion,
Brown gas,NO2-,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
