Question,Answers,Comment,Instructions,Render as
Distinguistion of AgCl from AgBr and AgI,"AgCl + Na3AsO3 -> Ag2AsO3(ppt,yellow)",,"Drop (ppt) for AgCl, Dont drop it for the product",
S8+KOH->,K2S2O3+K2S+H2O,"Regular hydrolysis starts. Just like P4 even though bond isnt polar, assymetric hydrolysis starts ...-S-H + HO-S-... ; but then breaking the non polar bond in the other side too becomes difficult. So on the second nucleophilic attack instead of breaking the bond, S expands octet and makes (HO)2-S=S + K-S-... and breaks bond at the other side. Now the unstable intermediates KS-SK and S=S-(OH)2 +KOH redox to give H2S2O3 and K2S. ",,
"Carbon Suboxide, Tetrathionate, Tribromooctaoxide","O=C=C=C=O, SO3-S-S-SO3, BrO3-BrO2-BrO3",,Structures and Names. Drop charges,3
Preparation of Na2S2O3,Na2S+Na2SO3+I2->Na2S2O3+2NaI,,Dont notate heating,
Ca(HCO3)2+▲->,CaCO3(ppt)+CO2+H2O,"Eventhough II carbonates aren't stable, for mild heating, CaCO3 will just escape as a ppt instead of decomposing. This reaction is used in removing Temporary Hardness",,
2-EthylAnthraquinol+Air->,H2O2(pale blue)+2-ethylanthraquinone,One big aromatic ring goes to 2 smaller aromatic rings which is more stabilizing. Pure H2O2 is pale blue. It freezes lower than water like how it evaporates higher than water. ,,
,,,,
,Surface Chemistry,,,
,,,,
Pthalic Anhydride + Resourcinol + AgCl,Green ppt,Adsorptive indication. AgCl adsorbs the formed dye from Pthalic Anhydride test for Phenols. The reaction looks holy damn cool in slowmotion btw.,Type Observation,
Which adsorption is endothermic out of physisorption and chemisorption,Neither,Both are exothermic except exception weird cases where there's some adsorbate's bond breaken,,
"Solid Sol, Liquid Aerosol, Solid Aerosol, Emulsion","Solid-Solid, Liquid-Gas, Solid-Gas,Liquid-Liquid","Solid Sol*id*, Sprays, New Emulsion Paints",Format: Dispersed Phase-Dispersion Medium,5
"Gel, Sol, Foam","Liquid-Solid, Solid-Liquid, Gas-Liquid","Unlike popular belief, Gel isnt solid dissolved in liquid but Liquid suspended in solid mass, hair gels isnt really a gel, better example of gel is gelatin, Old dissolved paints that flake off with time, whipped cream",Format: Dispersed Phase-Dispersion Medium,5
"S8, Pt, AgI/KI, Solution-sized Dirt, Water-Oil Emulsion","Chemical, Bredig's Arc, Peptization, Micelle, Emulsification ","Chemically Colloidal S8 is made, Bredig's Arc is the shattering of a metal electrode with high current, Peptization is breaking of large solids into smaller aggregates, Micelle formation is stepping is smaller ones using surfactants like Sodium Stereate. Essentially anything that achieves colloidal size work for Sol formation (10^-6 to 10^-9). Emulsification is binding two liquids together to avoid density-seperation using things like Soap, Protiens, Fatty Acids, etc.",Common Sols and Method of preparation,3
