ï»¿Question,Answers,Comment,Instructions,Mode
CCl4+H2O(drastic conditions),COCl2+2HCl,SN1 happens only in drastic conditions. Carbene is formed which then reacts with nucleophilic OH-,,
NF3+H2O->,no rxn,Under nondrastic conditions SN1 cant happen. SN2 will need low lying empty orbital for flank attack which is absent.,,
2HNO2(g)->,NO2+NO+H2O,N2O3 + H2O,,
3SiF4+4H2O->,Si(OH)4+2H2[SiF6],SiF4 being highly dq+ and empty d orbital readily complexes into d2sp3. This happens only with F-,,
4BF3+3H2O->,H3BO3+3H[BF4],"BF3 being deficient, readily gets complexated to get an octet. This happens only with F- and OH-",Write product in acid form,
BCl3+NaOH->,3NaCl+Na[B(OH)4],"Similar to BF3 complexation, Surplus of OH- in solution will complexate deficient molecule.  Same happens with BeCl2, it is a deficient yet small atom too",,
NCl3+3H2O->,NH3+3HOCl,"N is more EN than Cl and OH attacks Cl, not N",,
SbCl3+H2O->,SbOCl(ppt)+2HCl,Sb has +3 charge since this is ionic and its solubility is bad because of size of Sb,,
XeF2+H2O->,2Xe+4HF+O2,"With Xe compounds it is a""Either Go straight to XeO3, ore just become Xe""",,
XeF4+H2O->,4Xe+2XeO3+24HF+3O2,"With Xe compounds it is a""Either Go straight to XeO3, ore just become Xe"".",,
XeF6+H2O->,XeO3+6HF,"With Xe compounds it is a""Either Go straight to XeO3, ore just become Xe""",,
MH+H2O->,MOH+H2,H- will take H+,,
TeF6+H2O->,Te(OH)6+6HF,Hydroxides are more stable in predominantly ionic ones. Only dominantly covalent ones will tautomerize/gemdiol eliminate to get =O groups,,
SeF6+H2O,H2SeO4+4HF,Hydroxides are more stable in predominantly ionic ones. Only dominantly covalent ones will tautomerize/gemdiol eliminate to get =O groups,Write product in acid form,
SF6+H2O,no rxn,S is the smallest one showing 6-covalence. This is highly sterically hindered.,,
P4+H2O->,PH3+3H3PO2,Identical treatment is impossible here. Thus it disproportionates unlike regular non-Xe hydrolysis. It can be seen that H3PO4 is not formed but H3PO2 by adding H-OH across rest of the bonds in the other 3 Ps,,
Depressant Reactions,ZnS+4NaCN->2Na[Zn(CN)4]+Na2S,Complexing property of Zn is exploited to make ZnS less float-y and settle down,Assume impurity in given ore is Zinc based,
Cationic Activation Reaction (Froth Floatation),ZnS+CuSO4->CuS+ZnSO4,CuS is the best floater,Assume given ore is Zinc Blende,
Anionic Activation Reaction (Froth Floatation),CuCO3+Na2S->CuS+Na2CO3,"CuS is the best floater. Although it is meant for sulphide ores, other ores can also be concentrated by froth floatation when such reactions are possible.",Assume given ore is Limestone,
Leaching Bauxite,Al2O3+2NaOH+3H2O->2Na[Al(OH)4],"Ampho property of Al2O3 and solubility is exploited. Problem with this is that SiO2 which is an acidic oxide, will persist",Write product in complex form,
Leaching Silver,Ag2S+4NaCN->2Na[Ag(CN)2]+Na2S,Complexing property of Ag is exploited to precipitate it,,
Mond Process,Ni+4CO->[Ni(CO)4]->Ni+4CO,[Ni(CO)4] is volatile and will also thermally decompose once Seperationerated,,
Van Arkel Reaction,M+2I2->MI4->M+2I2,MI4 volatile and also decomposes,Assume the metal is M,
