Questions,Answers,Instructions,Comments,Render as
`____` coloured ZnO gives ____ colour on heating,yellow white,,,1
"`____` SnO2, Bi2O3 on heating gives `____`colour",Yellowish-brown yellow,,,
PbO on heating gives `____` colour,yellow,,,
`____` Fe2O3 on heating gives `____` colour,Black/red brown,,,
Black coloured salts (5),MnO2 FeO CuO Ni2O3 Co3O4,,,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
