H,,,,
Test for CN-,CN+FeSO4+H2SO4(conc)->Fe4[Fe(CN)6]3(Prussian Blue),"Used in Lasagne's organic tests. First complex is formed by Fe2+, then Fe2+ in solution is oxidized by concentrated H2SO4. Alternative to this is to simply add Fe(II) and Fe(III) seperately instead of letting H2SO4 do the oxidation",Use CN instead of CN-. Use typical procedure although several ways are possible. Ignore byproducts for this reaction (way too many of them).,
NO2 (characteristic description),Reddish Brown Fumes,Appears in group Seperationeration of NO3 and NO2,,
S2O3-- Group Seperation,S2O3+H->S8(ppt)+SO2,"S=S bond is not polar and is not hydrolysed like regular S-X bonds. It wont hydrolyse like usual. SO3-- is formed which further gives SO3-- group Seperation. S8 formed is actually colloidal, not ppt.",Ignore any charge in ionic equation,
S-- Group Seperation,S+H->H2S(rotten egg),Its good to note that H2S is largely covalent and wont give test for S-- in solution generally,Ignore any charge in equation,
CO2 (description),Odourless,"SO2 has odour, but same brisk effervescence",,
Cr2O7-- (Colour Change),Orange->Green,,,
CrO4- (Colour Change),Yellow->Green,,,
IO3- (Colour Change),Colourless->Blue-Black,"In starch, I3- shows complexation",,
FeCl3 (Colour Change),Yellow->Green,Fe(III) more stable generally. Fe(II) gains stability when full t2g prefered (Mostly in solution),,
Br2/H2O (Colour Change),Brown->Colourless,,,
dil[H+] Anions that dissolve on excess,CO3 SO3 S2O3,But CO3 becomes HCO3 but SO2 and S2O3 form complexes,Space seperated,1
CuCl2+H2O+Na2CO3->,"Cu(OH)2.CuCO3(ppt,green)+NaHCO3","Pb, Zn and Mg give HCO3 on adding CO3 ions too.",,
Ag2SO3+▲->,Ag,"Unlike Carbonate, this wont thermal decompose into SO2 but redox into SO4--",Include only the characteristic product. Drop (ppt) since all Ag salts are precipitates other than AgNO3,
Ag2S2O3+▲->,Ag2S(black),"Like SO3--, S2SO3-- acts, except the S= gets taken by Ag this time. Same happens other thiosulphate ppts.",Include only the characteristic product. Drop (ppt) since all Ag salts are precipitates other than AgNO3,
Na2S+HNO3->,S8(ppt)+NO2,"Like concentrated HCl and H2SO4, dilute HNO3 can oxidize. S-- becomes S8 with mild oxidizer.",Ignore spectators,
Na2S+HNO3(conc)->,S8(ppt)+NO,"Conc HNO3 will give NO, Dilute will give NO2. S-- becomes S8 with mild oxidizer.",Ignore spectators,
Anions that give ppt with BaCl2 that dissolve on HCl,CO3 SO3 S2O3,All dil[H] anions that give off gas on dil[H+],Space seperated,1
S-- Confirmatory,S+Na2[Fe(CN)5NO]->Na4[Fe(CN)5NOS](Purple),"The nitroso attacks S, Thionitrile is an auxophore in the complex.",Use S instead of S--,
test for H2SO3,H2SO3+Na2[Fe(CN)5NO]->Na2H2[Fe(CN)5NOSO3](Red),"The nitroso attacks S, an auxophore is formed in the complex.",,
S2O3-- Confirmatory,S2O3+KCN+FeCl3->Fe(SCN)3(Blood Red),S-- wont give this reaction as it will redox with FeCl3. [Fe(SCN)(H2O)5]-- gives this Blood Red colour,Use S2O3 instead of S2O3--.Ignore byproducts for this reaction (way too many of them).,
AcOH+H2SO4(conc)->,CO,"unlike oxalate & Halogens, AcOH will get alpha-dehydrated by conc H2O, not oxidized",Ignore byproducts for this reaction,
RCOOH+FeCl3 (Observation),Coloured ppt,"Colour is red for acetate, brown for larger acids",,
ArOH+FeCl3 (Observation),Coloured Solution,Colour is violet for phenol,,
I2 (Colour),Violet,,,
Iodometry/Hyposolution Reaction,I2+Na2S2O3->Na2S4O6+2NaI,,,
CuSO4+KI(excess)->,CuI(ppt)+KI3(brown)+K2SO4,Cu is being reduced by high I concentration. that gives I2 which with I- forms I3,,
Nessler's Reagant Preparation,HgI2+KI->K2[HgI4],,,
NO3- Confirmatory,NO3+H2SO4+FeSO4->[Fe(H2O)5NO](brown ring),"[H+] creates a condition similar to HNO3 and NO2 is oxidized by HNO3 to NO. NO has an unpaired electron in antibonding and readily donates it to Fe2+ (unlike how Nitroso is formed in diazonium formation). Fe is exceptionally +1 here. This doesnt need concentrated acid unlike NO2-- because these acid must to reduction and it wont disproportionate(not exactly, but qualitatively) like here",Ignore byproducts for this reaction,
Ce+4 (Colour Change),Yellow->Colourless,Ce(III) is colourless,,
KNO3+Zn,NH3+ZnO,This is done in conc. Basic medium to make the reaction to dissolve [Zn(OH)4]--,Ignore spectators,
