Question,Answers,Comment,Instructions,Mode
,Inorganic Reactions,,,
,,,,
2HNO2(g)->,NO2+NO+H2O,N2O3 + H2O (Transient Blue),,
BCl3+NaOH->,3NaCl+Na[B(OH)4],"Similar to BF3 complexation, Surplus of OH- in solution will complexate deficient molecule.  Same happens with BeCl2, it is a deficient yet small atom too",,
SbCl3+H2O->,SbOCl(ppt)+2HCl,Sb has +3 charge since this is ionic and its solubility is bad because of size of Sb,,
XeF2+H2O(excess)->,2Xe+4HF+O2,"With Xe compounds it is a""Either Go straight to XeO3, ore just become Xe""",,
XeF4+H2O(excess)->,4Xe+2XeO3+24HF+3O2,"With Xe compounds it is a""Either Go straight to XeO3, ore just become Xe"".",,
XeF6+H2O(excess)->,XeO3+6HF,"With Xe compounds it is a""Either Go straight to XeO3, ore just become Xe""",,
SeF6+H2O,H2SeO4+4HF,Hydroxides are more stable in predominantly ionic ones. Only dominantly covalent ones will tautomerize/gemdiol eliminate to get =O groups,Write product in acid form,
P4+H2O->,PH3+3H3PO2,Identical treatment is impossible here. Thus it disproportionates unlike regular non-Xe hydrolysis. It can be seen that H3PO4 is not formed but H3PO2 by adding H-OH across rest of the bonds in the other 3 Ps,,
Depressant Reactions,ZnS+4NaCN->2Na2[Zn(CN)4]+Na2S,Complexing property of Zn is exploited to make ZnS less float-y and settle down,Assume impurity in given ore is Zinc based,
Cationic Activation Reaction (Froth Floatation),ZnS+CuSO4->CuS+ZnSO4,CuS is the best floater,Assume given ore is Zinc Blende,
Anionic Activation Reaction (Froth Floatation),Cu(OH)2.CuCO3+Na2S->CuS+Na2CO3+NaOH,"CuS is the best floater. Although it is meant for sulphide ores, other ores can also be concentrated by froth floatation when such reactions are possible. ",Assume given ore is Malachite. Drop colours.,
Bayer's Process,Al2O3+2NaOH+3H2O->2Na[Al(OH)4],"Ampho property of Al2O3 and solubility is exploited. Problem with this is that SiO2 which is an acidic oxide, will persist",Write product in complex form,
Mac Arthur Forest Process for Silver,Ag2S+4NaCN->2Na[Ag(CN)2]+Na2S,Complexing property of Ag is exploited to precipitate it,,
Mond Process,Ni+4CO->[Ni(CO)4]->Ni+4CO,[Ni(CO)4] is volatile and will also thermally decompose once Seperationerated,,
Van Arkel Reaction,M+2I2->MI4->M+2I2,"MI4 volatile and also decomposes. Zr, Ti, B are extracted like this",Assume the metal is M,
Test for CN-,CN+FeSO4+H2SO4(conc)->Fe4[Fe(CN)6]3(Prussian Blue),"Used in Lasagne's organic tests. First complex is formed by Fe2+, then Fe2+ in solution is oxidized by concentrated H2SO4. Alternative to this is to simply add Fe(II) and Fe(III) seperately instead of letting H2SO4 do the oxidation",Use CN instead of CN-. Use typical procedure although several ways are possible. Ignore byproducts for this reaction (way too many of them).,
IO3- (Colour Change),Colourless->Blue-Black,"In starch, I3- shows complexation",,
CuCl2+H2O+Na2CO3->,"Cu(OH)2.CuCO3(ppt,green)+NaHCO3","Pb, Zn and Mg give HCO3 on adding CO3 ions too.",Use dot form,
S-- Confirmatory,S+Na2[Fe(CN)5NO]->Na4[Fe(CN)5NOS](Purple),"The nitroso attacks S, Thionitrile is an auxophore in the complex.",Use S instead of S--,
test for H2SO3,H2SO3+Na2[Fe(CN)5NO]->Na2H2[Fe(CN)5NOSO3](Red),"The nitroso attacks S, an auxophore is formed in the complex.",,
S2O3-- Confirmatory,S2O3+KCN+FeCl3->Fe(SCN)3(Blood Red),S-- wont give this reaction as it will redox with FeCl3. [Fe(SCN)(H2O)5]-- gives this Blood Red colour,Use S2O3 instead of S2O3--.Ignore byproducts for this reaction (way too many of them).,
CuSO4+KI(excess)->,Cu2I2(ppt)+KI3(brown)+K2SO4,Cu is being reduced by high I concentration. that gives I2 which with I- forms I3,,
Nessler's Reagant Preparation,HgI2(red)+KI(excess)->K2[HgI4],,,
NH4+ Confirmatory,"NH4+K2[HgI4]->HgO.HgNH2I(ppt,Brown)",,Ignore byproducts for this reaction. Use dot-form of product. Use NH4 instead of NH4+.,
NaX+Pb(OAc)2->,"PbX2(ppt,soluble on heating)+NaOAc","Just like AgX, colour becomes yellow with PbI2 (altho not much with Br). Cl is more crystalline.",,
Cl- Confirmatory,4Cl+K2Cr2O7->2CrO2Cl2(Deep red vapour)+8NaOH->2Na2CrO4(Yellow),"Chromyl Chloride Test. For some reason Concentrated Acids (in group seperation), Chromates and Manganates don't manage to oxidize Cl- in salt.",Use Cl instead of Cl-. Ignore byproducts for this reaction. Add the reagants into reaction in the second step right away (For example like H2O in this reaction: RCHO+KCN->RCH(OH)(CN)+H2O->RCH(OH)COOH),
MnO2 Test for Cl-,2Cl+MnO2+2H2SO4(conc)->Cl2(greenish yellow),This indirectly oxidizes Cl- in salt. Concentrated acid gives HCl which is then oxidized by the oxidizer.,Use Cl instead of Cl-. Ignore byproducts for this reaction.,
SO4-- Confirmatory,"SO4+Pb(OAc)2->PbSO4(ppt,insoluble in acid)+2OAc",,Use SO4 instead of SO4--,
NaCl+KMnO4 [H+]->,no rxn,"For some reason Concentrated Acids (in group seperation), Chromates and Manganates don't manage to oxidize Cl- in salt.",,
KMnO4+KOH(conc)->,4K2MnO4(Green)+O2+2H2O,"MnO4-- gains stability very high pH, OH makes the other half",,
Cobalt Chloride + ▲ (Colour Change),Pink->Blue,Dehydration. Remember using how Co(NO3)3 solution is pink. Bead of Co is blue because its in anhydrous conditions,,
Borax Bead test in Reducing Flame,Fe2O3+Na2B4O7+C->Fe(BO2)2(green)+NaBO2+CO,Reduction changes colour,Assume metal is Fe,
2HNO2(aq)->,2NO+HNO3+H2O,N2O3 + H2O. NO2 from one HNO2 reduces another HNO2 to HNO3 (Note that N2O3 doesnt have an anhydride link but a N-N link),,
Washing Soda Bead Test,MnO+O2+Na2CO3->Na2MnO4(Green)+CO2,"While Borax Bead test is majorly answered by lewis acidic oxides with colour giving metals, Sodium Carbonate Bead test is answered by lewis basic oxides (MnO2 and Cr2O3 are amphoteric and MnO oxidized from their stable oxidation state in oxidizing flame to this). CO2 is already oxidized, so though high T, CO isnt formed in oxidizing flame",Assume metal is Mn,
Group I,AgCl PbCl2(Soluble on heating),,"List the Precipitates (Don't inclue (ppt), include colour/description)",1
Group II,PbS(black) CuS(black) HgS(black) Bi2S3(Brown),,"List the Precipitates (Don't inclue (ppt), include colour/description). Incase of two colours, include most prominent first and the other seperated by a comma",1
Group III,Al(OH)3(gelatinous) Cr(OH)3(green) Fe(OH)3(brown),,"List the Precipitates (Don't inclue (ppt), include colour/description)",1
Group IV,MnS(flesh) ZnS(dirty white),,"List the Precipitates (Don't inclue (ppt), include colour/description)",1
Group V,CaCO3 BaCO3,Sr isnt there for Jee Adv :kekw:,"List the Precipitates (Don't inclue (ppt), include colour/description)",1
Group VI,Mg(NH4)2PO4,,"List the Precipitates (Don't inclue (ppt), include colour/description)",
Na2CO3+▲->,no rxn,Alkali metal carbonates (ex. Li by diagonal rel) are thermally stable,,
(COOH)2+▲->,H2O+CO+CO2,"First decarbox at one side, and then how AcOH on dehydration, CO is given.",,
Na(NH4)HPO4+▲->,(NaPO3)n+NH3+H2O,"All NH4 bonds are replaced with anhydride links, OH are also touched when theres a better metal around. Metal bonds are unaffected and H-P are also unaffected.  This salt is also known as the Microcosmic salt and (NaPO3)n is a bead",,
KOAc+▲->,K2CO3+CH3COCH3,Group I carbonates are stable and won't break further. Decarbox does not happen as there is not driving force here unlike beta carbonyl in oxalate. ,,
H2SO3+▲->,H2SO4+S8(ppt)+H2O,Acids not at their ortho ox state or mineral form disproportionate to extremes. Exceptionally S8 is formed because ppting supports pyrolysis ,,
H3PO2+▲->,H3PO4+PH3,Acids not at their ortho ox state or mineral form disproportionate simply because the extremes are more stable than others. ,,
Water Gas + Steam,2H2+CO2,At lower temperatures CO2 is more stable,Write Full reaction,
3d-series Amphoteric Oxides,V2O5 Cr2O3 MnO2 ZnO CuO,,,1
Amphoteric Maingroup Metal Oxides,SnO PbO2 As2O3 Sb2O3 Sb2O5,,Other than BeO Al2O3 Ga2O3 SnO2 PbO,1
CO+H2+Ni->,CH4+H2O,"at not so high T that CO will become stabler, just simple hydrogenation.",,
Synthetic Gas + Cu,HCHO,This is an exceptional case where Cu doesnt do dehydrogenation but hydrogenates,Write Full reaction,
Synthetic Gas + Cu/ZnO,CH3OH,This is an exceptional case where Cu doesnt do dehydrogenation but hydrogenates. This isnt really a reductive workup but can be seen like one for memorization purposes.,Write Full reaction,
Haber's Process,N2+H2+Fe/Fe2O3->NH3,,Include catalyst as if it was a reactant. Split alternative catalysts by /.,
NaBH4 synthesis,B(OCH3)3+NaH->Na[BH4]+NaOCH3,,Use Complex form NaBH4. Use salt-form of by products,
CO+NaH,HCOONa+C,"NaH + CO -> C + NaOH is formed, CO is not that stable so CO->CO2+C. Both combined CO2 is acidic and HCOONa is formed",,
Be+H2O->,no rxn,"Unlike Li, Be doesnt show exceptional reducing nature (Li+ has only 1 shell). Because of exchange energy, Be wont even react with Hot water",,
S block in NH3 upon standing,MNH2 + H2,S block is highly reducing. Just like M+H2O->MOH+H2,Use M,
Baryta Water + CO2(excess),Ba(HCO3)2,This is more sensitive than Lime water,,
