H,,,,
Chemical formual of Trona,Na2CO3.NaHCO3.2H2O,,,3
Na2CO3 is `___` `____` solid,"white,crystalline",,Description. Separate by commas.,2
Name of Na2CO3 (no water molecule),light ash/soda ash,,,
Name of Na2CO3.10H2O,Washing Soda,,,
name of Na2CO3.H2O,Crystal Carbonate,,,
Aqueous soltuion of Na2SO4 when cooled below 32 C gives:,"Na2SO4.10H2O,Glauber's salt",,"Formula and name, separated by commas.",2
Aqueous solution of Na2SO4 when cooled below 12 C gives:,Na2SO4.7H2O,,Fromula only.,
Name all the possible oxide formed when K is heated in the presense of air (4) :,"KO2,K2O,K2O4,K2O3",,"Forula only, separated by commas.",2
Carnallite formula:,KCl.MgCl2.6H2O,,,
Schonite formula:,K2SO4.MgSO4.6H2O,,,
(BeH2)n has `____` type of bonds,3c-2e,"or, as it is better known, banana bond.",,
Be has the `____` tendency to form complex``,maximum,,maximum/minimum,
Nature of Be(OH)2 and BeO: ,Amphoteric,,basic/acidic/amphoteric,
Solubilities of Hydroxides of alkaline earth metals `____` on moving down:,Increases,Due to decrease of lattice enthalpy,Increase/Decreases,
Cu-`__` alloys are used in manufacture of springs,Be,,,
`__`-Al alloys are used in aircraft construction,Mg,,,
Thermal Stability of Hydroxides of alkaline earth metals `____` on moving down:,Increases,,Increase/Decreases,
Basic Character of Hydroxides of alkaline earth metals `____` on moving down:,Increases,,Increase/Decreases,
The tendency to form hydrated halides of alkaline earth metals `____` on moving down: ,Decreases,,Increase/Decreases,
The temparature of decomposition of alkialine earth metals `____` on moving down:,Increase,,Increase/Decreases,
BeCO3 has unsually low thermal stability because it exists as ,[Be(H2O)4]CO3,,,
The flourides of AKE are `___` soluble than their chlorides,less,,less/more,
Solubilities of Sulphates of alkaline earth metals `____` on moving down:,Decreases,,Increase/Decreases,
Formula for Sorel's cement/magnsia cement used for dental fillings is: ,MgCl2.5MgO.5H2O,,,
Formula of dolomite:,MgCO3.CaCO3,,,
Formula of Quick Lime is:,CaO,,,
Formula of Slaked Lime is:,Ca(OH)2,,,
Formula of Hydrolith is:,CaH2,,,
Solubilities of Flourides is:,"MgF2, CaF2, SrF2, BaF2, BeF2",,"In Descedning order, separated by commas.",
Solubilities of Carbonates of alkaline earth metals `____` on moving down:,Decreases,,Increase/Decreases,
Reason for low solubility of LiF:,High Latice energy,,,
Reason for low solubility of CsI:,Low Hydration enthalpy,,,
Nature of NaOH:,Deliquescent,,,
Nature of NaCl:,Hygroscopic,,,
C+H2O (high T),CO+H2,"At high T, CO becomes highly stable as compared to CO2 and C becomes highly reducing",,
Water Gas + Steam,2H2+CO2,At lower temperatures CO2 is more stable,Write Full reaction,
CH4+H2O (high T),CO+H2,"At high T, CO becomes highly stable as compared to CO2 and even combustion results in CO",,
Synthetic Gas + Cu Catalyst,CH3OH,This is an exceptional case where Cu doesnt do dehydrogenation but hydrogenates,Write Full reaction,
Haber's Process,N2+H2+Fe->NH3,,Include catalyst as if it was a reactant,
NaBH4 synthesis,B(OCH3)3+NaH->Na[BH4]+NaOCH3,,Use Complex form NaBH4. Use salt-form of by products,
PbSO4+CaH2->,"PbS(ppt,black)+Ca(OH)2",Reducing nature of H-,,
CO+NaH,HCOONa+C,"NaH + CO -> C + NaOH is formed, CO is not that stable so CO->CO2+C. Both combined CO2 is acidic and HCOONa is formed",,
(NH4)2SO4+▲->,NH3+H2SO4,SO4 isnt considered oxidizing other than in H2SO4(conc),,
B2H6+ ⌁ ->,B4H10+2H2,Two terminal B-H are replaced by B-B. Covalent Group13 Hydrides show this,,
Be+H2O->,no rxn,"Unlike Li, Be doesnt show exceptional reducing nature (Li+ has only 1 shell). Because of exchange energy, Be wont even react with Hot water",,
S block elements when dissloved in NH3 show the colour:,Blue,,,
Excess S Block elements when dissloved in NH3 show the colour:,Brown,,,
S block ements in NH3 upon being kept for a long time go through the reaction:,MNH2 + H2,S block is highly reducing. Just like M+H2O->MOH+H2,Use M,
Li3N+▲->,Li+N2,,,
NaN3+▲->,Na+N2,,,
Baryta Water + CO2(excess),Ba(HCO3)2,This is more sensitive than Lime water,,
Caustic Soda,NaOH,Soda-Na; ,,
Na+N2->,no rxn,Group 1 Nitrides are unstable,,
[Co(NH3)5Cl]Cl2+NaOH->,Co2O3+NaCl+NH3+H2O,NaOH is strong enough to remove solvation from metal ion and react. They liberate NH3 from ammine complexes,,
Sr+O2->,SrO,"According to Na,K,Sr,Ba it is expected to be peroxide, but nope",,
K+O2->,KO2,"According to Na,K,Sr,Ba it is expected to be peroxide, but nope",,
Na2SO4+C+▲->,Na2S+CO,"When SO4 is the oxidizer it goes to SO2, When SO4 is being *reduced* it goes to S--. Here CO and not CO2 because of higher T",,
Na2S+Air->,Na2S2O3+NaOH,There is neither a mild oxidizer or a strong oxidizer. When S-- is the reducer it goes to S2O3--,,
KF+BrF3->,K[BrF4],Similar to I3-,,
Mg[BH4]2+H2O->,Mg(BO2)2+4H2,"for Borohydrides, B(OH)3 is not formed instead BO2 anion is directly formed. Can be seen like HBO2+Mg(OH)2",,
Na[BH4]+H2O->,no rxn,NaBH4 is stable in water (BH4 is highly covalent),,
Na+C->,no rxn,Group I doesnt react directly with C,,
Li+C->,Li2C2,This is used in synthesis of acetylene,,
Side Reaction in Chloralkali,NaOH+Cl2->NaOCl+NaCl+H2O,This is why Diaphragm and Amalgam methods were designed,,
Solvay Process - Production Steps,NH3+H2O+CO2->NH4HCO3+NaCl->NH4Cl+NaHCO3->Na2CO3+NH4Cl,,Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts for this reaction except the significant ones. Don't notate heating,
Solvay Process - Regenaration Steps,CaCO3->CaO+H2O->Ca(OH)2+NH4Cl->NH3,,Add the reagants into reaction in the subsequent steps right away (For example like H2O in this reaction: RX+Mg->MgRX+H2O->RH+MgXOH). Ignore byproducts. Don't notate heating,
Mg/NH3+▲(mild)->,[Mg(NH3)6],"Unlike group I, Group II will not lose the NH3 within primary solvation sphere",,
Cations that cause Scum,"Mg+2, Ca+2",,"Enter the species with charges, with each species separated by a comma.",2
Anions for Temporary Hardness,HCO3-,,"Enter the species with charges, with each species separated by a comma.",2
Anions for Permanent Hardness,"SO42-, Cl-",,"Enter the species with charges, with each species separated by a comma.",2
Clark's Process for Mg,"Mg(HCO3)2+Ca(OH)2->Mg(OH)2(ppt, sparingly soluble)+CaCO3(ppt)+H2O","Mg(OH)2 is sparingly soluble, but ppt here because of common ion with Ca(OH)2",,
Clark's Process for Ca,Ca(HCO3)2+Ca(OH)2->CaCO3(ppt)+H2O,,,
Ion Exchangers for Permanent Hardness,Na6P6O18(Calgon) NaAlSiO4(zeolite/permutit) RSO3Na(Resin),Calgon is a Hexametaphosphate (not the usual H3P3O9 but H6P6O18);,"Specify the formula, put the name in the brackets with no space between name and formula. Separate each exchanger with a space.",1
